date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:12	61748/61748	---MCZ	200	added ('OK')	text/html	etag:W/%22f134-6jeesne2TOk0jdQoOJuNEEB7R4k%22	https://support.makerbot.com/troubleshooting/makerbot-replicatorplus/error-codes/error-57-temperature-sage-watchdog_12211	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/troubleshooting/makerbot-replicatorplus/error-codes/error-57-temperature-sage-watchdog_12211.html	(from https://support.makerbot.com/)
17:39:13	61346/61346	---MCZ	200	added ('OK')	text/html	etag:W/%22efa2-ePGYvKHXAg0kbx9Kd2F+HGv4mys%22	https://support.makerbot.com/troubleshooting/makerbot-replicatorplus/setup/i-cant-connect-to-my-printer-usb_12175	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/troubleshooting/makerbot-replicatorplus/setup/i-cant-connect-to-my-printer-usb_12175.html	(from https://support.makerbot.com/)
17:39:13	29882/29882	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2018%20Aug%202020%2003:27:20%20GMT	https://service.force.com/embeddedservice/5.0/esw.min.js	C:/Users/EXC_TECH/Downloads/mkaerbot/service.force.com/embeddedservice/5.0/esw.min.js	(from https://support.makerbot.com/)
17:39:14	29882/29882	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2018%20Aug%202020%2003:27:20%20GMT	https://makerbot.my.salesforce.com/embeddedservice/5.0/esw.min.js	C:/Users/EXC_TECH/Downloads/mkaerbot/makerbot.my.salesforce.com/embeddedservice/5.0/esw.min.js	(from https://support.makerbot.com/)
17:39:14	4991/4991	---M--	200	added ('OK')	text/css	etag:%22ada384b37145856d00bba6552465fe79%22	https://footer.makerbot.com/css/settings.css	C:/Users/EXC_TECH/Downloads/mkaerbot/footer.makerbot.com/css/settings.css	(from https://support.makerbot.com/)
17:39:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Dec%202020%2016:39:15%20GMT	http://cdn.jsdelivr.net/lodash/4/lodash.min.js	C:/Users/EXC_TECH/Downloads/mkaerbot/cdn.jsdelivr.net/lodash/4/lodash.min.35.delayed	(from https://support.makerbot.com/)
17:39:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Dec%202020%2016:39:15%20GMT	http://cdn.jsdelivr.net/store/2/store2.min.js	C:/Users/EXC_TECH/Downloads/mkaerbot/cdn.jsdelivr.net/store/2/store2.min.js	(from https://support.makerbot.com/)
17:39:15	72772/72772	---M-Z	200	added ('OK')	application/javascript	etag:W/%2211c44-YN5uQ8SiwzJidasS1P/ZCyWCruk%22	https://cdn.jsdelivr.net/lodash/4/lodash.min.js	C:/Users/EXC_TECH/Downloads/mkaerbot/cdn.jsdelivr.net/lodash/4/lodash.min.js	(from https://support.makerbot.com/)
17:39:15	3915/3915	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f4b-Bjf+i2KsT2RJK/1R3dqSx+N7iBE%22	https://cdn.jsdelivr.net/store/2/store2.min.js	C:/Users/EXC_TECH/Downloads/mkaerbot/cdn.jsdelivr.net/store/2/store2.min.js	(from https://support.makerbot.com/)
17:39:16	86351/86351	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/3.1.0/jquery.min.js	C:/Users/EXC_TECH/Downloads/mkaerbot/ajax.googleapis.com/ajax/libs/jquery/3.1.0/jquery.min.js	(from https://support.makerbot.com/)
